iter	Passed	Remaining
0	378	377990
1	381	190457
2	383	127605
3	386	96154
4	388	77293
5	393	65154
6	395	56116
7	397	49322
8	399	44035
9	402	39804
10	406	36585
11	409	33693
12	411	31237
13	413	29139
14	415	27315
15	422	25987
16	424	24564
17	427	23295
18	429	22160
19	431	21137
20	437	20388
21	439	19540
22	441	18767
23	444	18056
24	446	17403
25	452	16935
26	454	16370
27	456	15845
28	458	15356
29	460	14901
30	467	14612
31	469	14207
32	471	13827
33	474	13469
34	476	13132
35	480	12863
36	482	12560
37	484	12272
38	486	11998
39	490	11779
40	495	11586
41	497	11350
42	499	11124
43	501	10907
44	509	10820
45	512	10619
46	514	10427
47	516	10242
48	520	10105
49	523	9940
50	525	9775
51	529	9662
52	532	9509
53	536	9402
54	538	9259
55	541	9122
56	543	8998
57	546	8869
58	549	8770
59	556	8715
60	560	8624
61	584	8846
62	589	8774
63	592	8660
64	596	8579
65	598	8472
66	600	8367
67	601	8248
68	604	8157
69	606	8061
70	609	7968
71	611	7879
72	613	7791
73	615	7705
74	618	7623
75	620	7543
76	622	7464
77	626	7403
78	628	7331
79	631	7257
80	633	7185
81	635	7115
82	638	7057
83	641	6990
84	642	6916
85	678	7213
86	680	7138
87	682	7071
88	693	7094
89	695	7034
90	697	6970
91	701	6924
92	703	6863
93	705	6803
94	726	6922
95	728	6863
96	731	6805
97	738	6799
98	742	6753
99	744	6698
100	746	6645
101	752	6625
102	755	6582
103	758	6531
104	760	6480
105	762	6430
106	769	6425
107	772	6376
108	777	6359
109	785	6355
110	787	6308
111	789	6262
112	791	6216
113	795	6185
114	798	6142
115	799	6095
116	801	6052
117	804	6011
118	805	5965
119	808	5925
120	811	5898
121	814	5858
122	815	5811
123	817	5775
124	819	5738
125	821	5701
126	824	5668
127	825	5626
128	828	5591
129	830	5557
130	832	5522
131	834	5489
132	836	5455
133	839	5425
134	842	5395
135	844	5364
136	846	5333
137	848	5298
138	850	5268
139	853	5240
140	855	5211
141	857	5182
142	859	5153
143	862	5125
144	864	5096
145	866	5070
146	869	5042
147	871	5015
148	873	4987
149	875	4961
150	877	4934
151	879	4908
152	882	4884
153	884	4859
154	886	4834
155	888	4809
156	891	4784
157	893	4760
158	896	4740
159	898	4717
160	900	4693
161	902	4669
162	904	4646
163	907	4624
164	909	4601
165	911	4579
166	913	4557
167	915	4535
168	918	4514
169	920	4493
170	922	4473
171	925	4453
172	927	4434
173	929	4414
174	931	4393
175	934	4373
176	936	4355
177	938	4335
178	941	4316
179	943	4296
180	944	4272
181	946	4252
182	948	4234
183	950	4216
184	953	4198
185	955	4180
186	957	4163
187	959	4145
188	961	4127
189	964	4113
190	967	4095
191	969	4078
192	971	4061
193	973	4044
194	975	4027
195	978	4012
196	980	3995
197	982	3979
198	984	3963
199	986	3947
200	989	3931
201	991	3916
202	993	3901
203	995	3885
204	998	3870
205	1000	3855
206	1002	3840
207	1004	3825
208	1008	3815
209	1010	3800
210	1012	3786
211	1014	3771
212	1016	3757
213	1018	3742
214	1021	3729
215	1023	3715
216	1025	3701
217	1027	3687
218	1029	3673
219	1032	3659
220	1034	3646
221	1036	3633
222	1039	3621
223	1041	3607
224	1043	3592
225	1044	3578
226	1048	3572
227	1051	3558
228	1057	3562
229	1060	3549
230	1063	3538
231	1065	3527
232	1068	3516
233	1070	3503
234	1072	3491
235	1076	3485
236	1078	3473
237	1081	3461
238	1083	3449
239	1085	3437
240	1087	3425
241	1090	3415
242	1092	3404
243	1094	3392
244	1097	3381
245	1099	3370
246	1101	3358
247	1104	3348
248	1106	3337
249	1108	3326
250	1111	3315
251	1113	3304
252	1115	3293
253	1120	3289
254	1122	3278
255	1124	3267
256	1126	3257
257	1128	3246
258	1131	3238
259	1134	3228
260	1136	3217
261	1138	3208
262	1141	3198
263	1143	3188
264	1146	3181
265	1149	3171
266	1151	3161
267	1153	3151
268	1155	3141
269	1158	3131
270	1160	3121
271	1162	3112
272	1165	3102
273	1167	3093
274	1169	3083
275	1171	3074
276	1174	3065
277	1176	3055
278	1178	3046
279	1181	3037
280	1183	3027
281	1185	3018
282	1187	3009
283	1190	3000
284	1193	2993
285	1195	2985
286	1197	2976
287	1200	2967
288	1202	2958
289	1204	2949
290	1207	2941
291	1209	2932
292	1211	2924
293	1214	2916
294	1216	2907
295	1218	2899
296	1221	2890
297	1223	2881
298	1225	2873
299	1228	2865
300	1230	2857
301	1232	2848
302	1234	2840
303	1236	2831
304	1238	2823
305	1241	2814
306	1243	2806
307	1245	2798
308	1247	2790
309	1249	2782
310	1252	2774
311	1254	2766
312	1256	2758
313	1259	2750
314	1261	2742
315	1263	2734
316	1265	2726
317	1267	2718
318	1270	2711
319	1272	2703
320	1274	2695
321	1276	2688
322	1279	2680
323	1281	2673
324	1283	2666
325	1285	2658
326	1288	2651
327	1290	2643
328	1292	2635
329	1294	2628
330	1296	2620
331	1299	2613
332	1301	2606
333	1303	2599
334	1305	2591
335	1307	2584
336	1310	2577
337	1312	2571
338	1314	2564
339	1317	2556
340	1319	2549
341	1321	2542
342	1323	2535
343	1326	2528
344	1328	2521
345	1330	2514
346	1332	2507
347	1334	2500
348	1336	2493
349	1339	2487
350	1341	2480
351	1343	2473
352	1346	2467
353	1348	2460
354	1350	2453
355	1352	2447
356	1355	2440
357	1357	2433
358	1359	2427
359	1361	2420
360	1363	2413
361	1365	2407
362	1368	2401
363	1370	2394
364	1372	2388
365	1375	2381
366	1377	2375
367	1379	2368
368	1381	2362
369	1383	2356
370	1386	2350
371	1388	2343
372	1390	2337
373	1392	2331
374	1395	2325
375	1397	2318
376	1399	2312
377	1401	2306
378	1403	2300
379	1405	2293
380	1408	2287
381	1410	2282
382	1413	2276
383	1415	2270
384	1417	2264
385	1419	2258
386	1422	2252
