iter	Passed	Remaining
0	621	620466
1	623	311039
2	625	207869
3	627	156346
4	630	125405
5	637	105578
6	639	90737
7	641	79598
8	644	70927
9	646	63985
10	659	59262
11	661	54445
12	663	50370
13	685	48303
14	688	45183
15	690	42445
16	705	40812
17	708	38635
18	710	36673
19	712	34910
20	719	33529
21	721	32067
22	723	30749
23	726	29524
24	728	28397
25	802	30058
26	804	28991
27	806	28001
28	809	27100
29	811	26241
30	818	25594
31	820	24833
32	823	24124
33	825	23452
34	827	22821
35	829	22224
36	832	21657
37	834	21122
38	836	20610
39	911	21881
40	913	21376
41	916	20897
42	918	20439
43	920	19999
44	927	19691
45	930	19289
46	932	18908
47	934	18541
48	937	18187
49	939	17850
50	942	17529
51	944	17212
52	946	16907
53	948	16613
54	950	16333
55	958	16159
56	960	15898
57	963	15645
58	965	15396
59	971	15225
60	974	14994
61	976	14774
62	978	14557
63	980	14345
64	983	14140
65	985	13945
66	1053	14676
67	1056	14474
68	1058	14280
69	1060	14088
70	1068	13981
71	1070	13800
72	1073	13629
73	1075	13457
74	1077	13288
75	1084	13182
76	1086	13025
77	1088	12869
78	1090	12716
79	1092	12567
80	1168	13253
81	1170	13105
82	1171	12944
83	1173	12799
84	1175	12657
85	1182	12567
86	1185	12439
87	1188	12312
88	1190	12188
89	1198	12114
90	1200	11992
91	1202	11870
92	1204	11749
93	1206	11631
94	1282	12212
95	1284	12092
96	1286	11976
97	1288	11860
98	1290	11746
99	1298	11684
100	1300	11577
101	1302	11469
102	1304	11364
103	1306	11260
104	1313	11197
105	1317	11108
106	1319	11010
107	1321	10913
108	1379	11275
109	1381	11179
110	1384	11087
111	1386	10993
112	1388	10901
113	1396	10850
114	1398	10763
115	1400	10675
116	1402	10584
117	1404	10498
118	1465	10849
119	1467	10762
120	1470	10683
121	1472	10596
122	1479	10549
123	1481	10468
124	1484	10389
125	1486	10310
126	1488	10228
127	1490	10153
128	1492	10078
129	1494	10004
130	1497	9931
131	1509	9927
132	1511	9856
133	1514	9785
134	1520	9744
135	1523	9680
136	1525	9612
137	1528	9545
138	1545	9572
139	1552	9536
140	1554	9471
141	1555	9401
142	1558	9337
143	1570	9335
144	1572	9273
145	1575	9213
146	1577	9152
147	1584	9121
148	1586	9063
149	1602	9082
150	1605	9024
151	1607	8967
152	1609	8910
153	1616	8879
154	1619	8828
155	1623	8784
